gameId,playerId,originalGroup,blockNum,phase,target,socialGuess,socialGuessCorrect,socialRoundScore,tangramSet
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7A44GGBE9XR412KV5BFSC,B,0.0,refgame,page7-255,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7C40WEQBDF48ACG18M0EV,B,4.0,refgame,page3-35,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AZC7FAG17CY924MRTCF7,A,3.0,refgame,page5-28,different_group,False,0.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN792W85XPK9QGH8A6HSYSJ,B,0.0,refgame,page7-255,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7C40WEQBDF48ACG18M0EV,B,5.0,refgame,page-B,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79B14FBSYSKKCG2BYVBB6,A,4.0,refgame,page5-28,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AZC7FAG17CY924MRTCF7,A,3.0,refgame,page7-107,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN78DQ6KC0F9N1HA0BPB44R,C,3.0,refgame,page3-35,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7A44GGBE9XR412KV5BFSC,B,4.0,refgame,page3-35,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN78DQ6KC0F9N1HA0BPB44R,C,1.0,refgame,page9-46,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7863BFF3ZYZGVVSATZTH7,C,3.0,refgame,page9-46,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79J529BWBWTESKB6D9MB7,C,4.0,refgame,page-B,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79J529BWBWTESKB6D9MB7,C,2.0,refgame,page9-46,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7863BFF3ZYZGVVSATZTH7,C,5.0,refgame,page-B,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AZC7FAG17CY924MRTCF7,A,3.0,refgame,page3-35,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN78DQ6KC0F9N1HA0BPB44R,C,1.0,refgame,page5-28,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7863BFF3ZYZGVVSATZTH7,C,0.0,refgame,page9-46,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7A44GGBE9XR412KV5BFSC,B,3.0,refgame,page7-255,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN78DQ6KC0F9N1HA0BPB44R,C,0.0,refgame,page-B,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN792W85XPK9QGH8A6HSYSJ,B,5.0,refgame,page-B,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7A44GGBE9XR412KV5BFSC,B,4.0,refgame,page9-46,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN792W85XPK9QGH8A6HSYSJ,B,3.0,refgame,page5-28,same_group,False,0.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79B14FBSYSKKCG2BYVBB6,A,1.0,refgame,page3-35,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AZC7FAG17CY924MRTCF7,A,4.0,refgame,page9-46,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79B14FBSYSKKCG2BYVBB6,A,4.0,refgame,page7-107,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79B14FBSYSKKCG2BYVBB6,A,2.0,refgame,page7-107,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7C40WEQBDF48ACG18M0EV,B,2.0,refgame,page9-46,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN78DQ6KC0F9N1HA0BPB44R,C,4.0,refgame,page3-35,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7C40WEQBDF48ACG18M0EV,B,4.0,refgame,page5-28,same_group,False,0.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7A44GGBE9XR412KV5BFSC,B,4.0,refgame,page-B,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7C40WEQBDF48ACG18M0EV,B,5.0,refgame,page7-255,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79B14FBSYSKKCG2BYVBB6,A,5.0,refgame,page7-107,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79J529BWBWTESKB6D9MB7,C,4.0,refgame,page7-107,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN78DQ6KC0F9N1HA0BPB44R,C,0.0,refgame,page3-35,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7863BFF3ZYZGVVSATZTH7,C,3.0,refgame,page7-255,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79J529BWBWTESKB6D9MB7,C,5.0,refgame,page9-46,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN792W85XPK9QGH8A6HSYSJ,B,3.0,refgame,page9-46,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN78DQ6KC0F9N1HA0BPB44R,C,4.0,refgame,page5-28,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AZC7FAG17CY924MRTCF7,A,4.0,refgame,page5-28,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7C40WEQBDF48ACG18M0EV,B,5.0,refgame,page9-46,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7A44GGBE9XR412KV5BFSC,B,1.0,refgame,page9-46,different_group,,,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN78DQ6KC0F9N1HA0BPB44R,C,1.0,refgame,page-B,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN78DQ6KC0F9N1HA0BPB44R,C,3.0,refgame,page-B,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7A44GGBE9XR412KV5BFSC,B,3.0,refgame,page7-107,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79J529BWBWTESKB6D9MB7,C,5.0,refgame,page-B,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN792W85XPK9QGH8A6HSYSJ,B,2.0,refgame,page5-28,same_group,False,0.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AAX1VHZ1A7ZB35BNRH8N,A,2.0,refgame,page7-255,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AZC7FAG17CY924MRTCF7,A,1.0,refgame,page7-107,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7863BFF3ZYZGVVSATZTH7,C,3.0,refgame,page3-35,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79B14FBSYSKKCG2BYVBB6,A,2.0,refgame,page9-46,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7863BFF3ZYZGVVSATZTH7,C,0.0,refgame,page5-28,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79B14FBSYSKKCG2BYVBB6,A,2.0,refgame,page5-28,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AZC7FAG17CY924MRTCF7,A,4.0,refgame,page7-255,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AZC7FAG17CY924MRTCF7,A,4.0,refgame,page7-107,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79B14FBSYSKKCG2BYVBB6,A,1.0,refgame,page7-255,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79J529BWBWTESKB6D9MB7,C,2.0,refgame,page7-107,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7A44GGBE9XR412KV5BFSC,B,3.0,refgame,page9-46,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79J529BWBWTESKB6D9MB7,C,1.0,refgame,page7-107,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN792W85XPK9QGH8A6HSYSJ,B,0.0,refgame,page3-35,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7C40WEQBDF48ACG18M0EV,B,1.0,refgame,page9-46,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AAX1VHZ1A7ZB35BNRH8N,A,2.0,refgame,page5-28,same_group,False,0.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79B14FBSYSKKCG2BYVBB6,A,2.0,refgame,page-B,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7C40WEQBDF48ACG18M0EV,B,4.0,refgame,page7-107,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN78DQ6KC0F9N1HA0BPB44R,C,4.0,refgame,page7-107,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7863BFF3ZYZGVVSATZTH7,C,5.0,refgame,page5-28,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AAX1VHZ1A7ZB35BNRH8N,A,0.0,refgame,page5-28,same_group,False,0.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN792W85XPK9QGH8A6HSYSJ,B,3.0,refgame,page7-107,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7C40WEQBDF48ACG18M0EV,B,5.0,refgame,page7-107,same_group,False,0.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7863BFF3ZYZGVVSATZTH7,C,5.0,refgame,page9-46,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AZC7FAG17CY924MRTCF7,A,0.0,refgame,page5-28,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AZC7FAG17CY924MRTCF7,A,0.0,refgame,page3-35,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN792W85XPK9QGH8A6HSYSJ,B,2.0,refgame,page3-35,different_group,False,0.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN78DQ6KC0F9N1HA0BPB44R,C,3.0,refgame,page7-255,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79J529BWBWTESKB6D9MB7,C,5.0,refgame,page7-107,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79J529BWBWTESKB6D9MB7,C,2.0,refgame,page5-28,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN78DQ6KC0F9N1HA0BPB44R,C,0.0,refgame,page7-107,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7863BFF3ZYZGVVSATZTH7,C,2.0,refgame,page9-46,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN78DQ6KC0F9N1HA0BPB44R,C,4.0,refgame,page7-255,same_group,False,0.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79J529BWBWTESKB6D9MB7,C,5.0,refgame,page5-28,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN792W85XPK9QGH8A6HSYSJ,B,5.0,refgame,page5-28,same_group,False,0.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AAX1VHZ1A7ZB35BNRH8N,A,5.0,refgame,page-B,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79B14FBSYSKKCG2BYVBB6,A,1.0,refgame,page7-107,different_group,False,0.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN78DQ6KC0F9N1HA0BPB44R,C,0.0,refgame,page9-46,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AZC7FAG17CY924MRTCF7,A,1.0,refgame,page9-46,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7C40WEQBDF48ACG18M0EV,B,5.0,refgame,page5-28,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79B14FBSYSKKCG2BYVBB6,A,4.0,refgame,page3-35,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79B14FBSYSKKCG2BYVBB6,A,5.0,refgame,page5-28,different_group,False,0.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AZC7FAG17CY924MRTCF7,A,0.0,refgame,page7-255,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7863BFF3ZYZGVVSATZTH7,C,3.0,refgame,page7-107,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN78DQ6KC0F9N1HA0BPB44R,C,4.0,refgame,page9-46,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN792W85XPK9QGH8A6HSYSJ,B,0.0,refgame,page7-107,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7A44GGBE9XR412KV5BFSC,B,0.0,refgame,page7-107,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN78DQ6KC0F9N1HA0BPB44R,C,3.0,refgame,page5-28,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79B14FBSYSKKCG2BYVBB6,A,5.0,refgame,page3-35,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AAX1VHZ1A7ZB35BNRH8N,A,5.0,refgame,page5-28,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7A44GGBE9XR412KV5BFSC,B,0.0,refgame,page5-28,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79J529BWBWTESKB6D9MB7,C,1.0,refgame,page7-255,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7863BFF3ZYZGVVSATZTH7,C,0.0,refgame,page7-255,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7C40WEQBDF48ACG18M0EV,B,4.0,refgame,page-B,different_group,False,0.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AAX1VHZ1A7ZB35BNRH8N,A,2.0,refgame,page9-46,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN78DQ6KC0F9N1HA0BPB44R,C,0.0,refgame,page7-255,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AAX1VHZ1A7ZB35BNRH8N,A,0.0,refgame,page3-35,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7A44GGBE9XR412KV5BFSC,B,1.0,refgame,page7-107,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7863BFF3ZYZGVVSATZTH7,C,3.0,refgame,page5-28,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AAX1VHZ1A7ZB35BNRH8N,A,5.0,refgame,page7-107,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79J529BWBWTESKB6D9MB7,C,4.0,refgame,page3-35,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AAX1VHZ1A7ZB35BNRH8N,A,2.0,refgame,page3-35,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79B14FBSYSKKCG2BYVBB6,A,2.0,refgame,page7-255,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79J529BWBWTESKB6D9MB7,C,4.0,refgame,page5-28,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7A44GGBE9XR412KV5BFSC,B,4.0,refgame,page7-255,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AZC7FAG17CY924MRTCF7,A,4.0,refgame,page3-35,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79J529BWBWTESKB6D9MB7,C,2.0,refgame,page-B,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7863BFF3ZYZGVVSATZTH7,C,0.0,refgame,page3-35,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79J529BWBWTESKB6D9MB7,C,1.0,refgame,page3-35,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AAX1VHZ1A7ZB35BNRH8N,A,2.0,refgame,page-B,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN792W85XPK9QGH8A6HSYSJ,B,2.0,refgame,page7-107,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN792W85XPK9QGH8A6HSYSJ,B,3.0,refgame,page3-35,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7A44GGBE9XR412KV5BFSC,B,0.0,refgame,page-B,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79J529BWBWTESKB6D9MB7,C,1.0,refgame,page5-28,same_group,False,0.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AZC7FAG17CY924MRTCF7,A,1.0,refgame,page-B,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AAX1VHZ1A7ZB35BNRH8N,A,2.0,refgame,page7-107,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79B14FBSYSKKCG2BYVBB6,A,4.0,refgame,page9-46,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7863BFF3ZYZGVVSATZTH7,C,5.0,refgame,page7-107,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7C40WEQBDF48ACG18M0EV,B,2.0,refgame,page7-255,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AAX1VHZ1A7ZB35BNRH8N,A,5.0,refgame,page7-255,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79B14FBSYSKKCG2BYVBB6,A,2.0,refgame,page3-35,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN792W85XPK9QGH8A6HSYSJ,B,0.0,refgame,page9-46,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN78DQ6KC0F9N1HA0BPB44R,C,1.0,refgame,page7-255,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7A44GGBE9XR412KV5BFSC,B,4.0,refgame,page7-107,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79J529BWBWTESKB6D9MB7,C,5.0,refgame,page3-35,different_group,False,0.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN78DQ6KC0F9N1HA0BPB44R,C,1.0,refgame,page3-35,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AAX1VHZ1A7ZB35BNRH8N,A,3.0,refgame,page-B,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7A44GGBE9XR412KV5BFSC,B,0.0,refgame,page3-35,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AZC7FAG17CY924MRTCF7,A,1.0,refgame,page3-35,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AZC7FAG17CY924MRTCF7,A,3.0,refgame,page7-255,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AZC7FAG17CY924MRTCF7,A,0.0,refgame,page7-107,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7863BFF3ZYZGVVSATZTH7,C,2.0,refgame,page7-107,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7C40WEQBDF48ACG18M0EV,B,1.0,refgame,page5-28,same_group,False,0.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7C40WEQBDF48ACG18M0EV,B,2.0,refgame,page-B,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79B14FBSYSKKCG2BYVBB6,A,5.0,refgame,page-B,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7AAX1VHZ1A7ZB35BNRH8N,A,3.0,refgame,page5-28,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79B14FBSYSKKCG2BYVBB6,A,4.0,refgame,page7-255,same_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79B14FBSYSKKCG2BYVBB6,A,5.0,refgame,page7-255,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7A44GGBE9XR412KV5BFSC,B,1.0,refgame,page3-35,different_group,,,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7C40WEQBDF48ACG18M0EV,B,2.0,refgame,page3-35,different_group,True,6.0,0.0
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79B14FBSYSKKCG2BYVBB6,A,1.0,refgame,page9-46,different_group,True,6.0,0.0
